name,photo_url,price,currency,description,category,person_id,action_type
Kurtka zimowa,https://example.com/product_1.jpg,74,EUR,"Gruba, dobrze grzeje, stan bardzo dobry.",Ubrania,8,wymiana
Odkurzacz ręczny,https://example.com/product_2.jpg,11,EUR,Pożyczę na weekend. Proszę o zwrot.,Inne,8,sprzedaż
Makaron + sos pomidorowy,https://example.com/product_3.jpg,72,Waluta Studencka,Zestaw na gotowy obiad.,Żywność,17,pożyczę
Odkurzacz ręczny,https://example.com/product_4.jpg,96,EUR,Pożyczę na weekend. Proszę o zwrot.,Inne,6,wymiana
Kawa rozpuszczalna (duże opakowanie),https://example.com/product_5.jpg,19,PLN,"Nowa, nieotwierana.",Żywność,7,pożyczę
Kawa rozpuszczalna (duże opakowanie),https://example.com/product_6.jpg,97,Waluta Studencka,"Nowa, nieotwierana.",Żywność,16,sprzedaż
Płyn do szyb + ściereczki,https://example.com/product_7.jpg,39,Waluta Studencka,Nowy zestaw do czyszczenia okien.,Środki Czystości,18,pożyczę
Zestaw sztućców,https://example.com/product_8.jpg,27,PLN,"Widelec, nóż, łyżka – wszystko w zestawie.",Akcesoria Kuchenne,2,wymiana
Płyn do mycia naczyń,https://example.com/product_9.jpg,38,PLN,"Nowy, nieużywany. Kupiłem za dużo.",Środki Czystości,14,wymiana
Kabel HDMI 2m,https://example.com/product_10.jpg,82,EUR,Nadaje się do podłączania laptopa do TV.,RTV,16,wymiana
Czajnik elektryczny 1.7L,https://example.com/product_11.jpg,13,EUR,"Używany, działa sprawnie.",Akcesoria Kuchenne,1,sprzedaż
Kurtka zimowa,https://example.com/product_12.jpg,32,Waluta Studencka,"Gruba, dobrze grzeje, stan bardzo dobry.",Ubrania,9,pożyczę
Słuchawki przewodowe Sony,https://example.com/product_13.jpg,47,Waluta Studencka,Działają bez zarzutu. Super do nauki.,RTV,2,sprzedaż
Makaron + sos pomidorowy,https://example.com/product_14.jpg,33,Waluta Studencka,Zestaw na gotowy obiad.,Żywność,4,pożyczę
Kabel HDMI 2m,https://example.com/product_15.jpg,71,Waluta Studencka,Nadaje się do podłączania laptopa do TV.,RTV,7,sprzedaż
Kabel HDMI 2m,https://example.com/product_16.jpg,73,Waluta Studencka,Nadaje się do podłączania laptopa do TV.,RTV,6,wymiana
Makaron + sos pomidorowy,https://example.com/product_17.jpg,83,PLN,Zestaw na gotowy obiad.,Żywność,11,sprzedaż
Słuchawki przewodowe Sony,https://example.com/product_18.jpg,80,PLN,Działają bez zarzutu. Super do nauki.,RTV,11,wymiana
Suszarka do włosów,https://example.com/product_19.jpg,29,EUR,"Działa, trochę poobijana, ale sprawna.",Inne,9,wymiana
Odkurzacz ręczny,https://example.com/product_20.jpg,31,EUR,Pożyczę na weekend. Proszę o zwrot.,Inne,9,pożyczę
Słuchawki przewodowe Sony,https://example.com/product_21.jpg,52,EUR,Działają bez zarzutu. Super do nauki.,RTV,2,sprzedaż
Płyn do szyb + ściereczki,https://example.com/product_22.jpg,13,Waluta Studencka,Nowy zestaw do czyszczenia okien.,Środki Czystości,1,pożyczę
Powerbank 10000mAh,https://example.com/product_23.jpg,22,EUR,"Mało używany, idealny na wykłady.",RTV,5,wymiana
Płyn do szyb + ściereczki,https://example.com/product_24.jpg,37,PLN,Nowy zestaw do czyszczenia okien.,Środki Czystości,4,wymiana
Kawa rozpuszczalna (duże opakowanie),https://example.com/product_25.jpg,96,EUR,"Nowa, nieotwierana.",Żywność,12,pożyczę
Powerbank 10000mAh,https://example.com/product_26.jpg,74,Waluta Studencka,"Mało używany, idealny na wykłady.",RTV,10,wymiana
Zestaw sztućców,https://example.com/product_27.jpg,73,Waluta Studencka,"Widelec, nóż, łyżka – wszystko w zestawie.",Akcesoria Kuchenne,4,sprzedaż
Makaron + sos pomidorowy,https://example.com/product_28.jpg,66,EUR,Zestaw na gotowy obiad.,Żywność,14,pożyczę
Suszarka do włosów,https://example.com/product_29.jpg,97,Waluta Studencka,"Działa, trochę poobijana, ale sprawna.",Inne,18,wymiana
Kabel HDMI 2m,https://example.com/product_30.jpg,48,Waluta Studencka,Nadaje się do podłączania laptopa do TV.,RTV,5,wymiana
Płyn do szyb + ściereczki,https://example.com/product_31.jpg,82,EUR,Nowy zestaw do czyszczenia okien.,Środki Czystości,13,pożyczę
Suszarka do włosów,https://example.com/product_32.jpg,11,PLN,"Działa, trochę poobijana, ale sprawna.",Inne,5,sprzedaż
Kurtka zimowa,https://example.com/product_33.jpg,40,Waluta Studencka,"Gruba, dobrze grzeje, stan bardzo dobry.",Ubrania,16,pożyczę
Makaron + sos pomidorowy,https://example.com/product_34.jpg,93,PLN,Zestaw na gotowy obiad.,Żywność,18,wymiana
Ciepła bluza z kapturem,https://example.com/product_35.jpg,6,Waluta Studencka,Chętnie wymienię na coś słodkiego.,Ubrania,7,wymiana
Tablet Samsung Galaxy Tab,https://example.com/product_36.jpg,27,EUR,"Sprawny, idealny do przeglądania notatek.",RTV,14,sprzedaż
Koszula męska L,https://example.com/product_37.jpg,42,EUR,"Używana tylko raz, stan bardzo dobry.",Ubrania,19,pożyczę
Kurtka zimowa,https://example.com/product_38.jpg,52,Waluta Studencka,"Gruba, dobrze grzeje, stan bardzo dobry.",Ubrania,17,wymiana
Kurtka zimowa,https://example.com/product_39.jpg,76,PLN,"Gruba, dobrze grzeje, stan bardzo dobry.",Ubrania,7,sprzedaż
Kabel HDMI 2m,https://example.com/product_40.jpg,6,EUR,Nadaje się do podłączania laptopa do TV.,RTV,2,sprzedaż
Koszula męska L,https://example.com/product_41.jpg,17,EUR,"Używana tylko raz, stan bardzo dobry.",Ubrania,14,pożyczę
Odkurzacz ręczny,https://example.com/product_42.jpg,56,Waluta Studencka,Pożyczę na weekend. Proszę o zwrot.,Inne,5,sprzedaż
Ciepła bluza z kapturem,https://example.com/product_43.jpg,87,EUR,Chętnie wymienię na coś słodkiego.,Ubrania,3,pożyczę
Odkurzacz ręczny,https://example.com/product_44.jpg,31,EUR,Pożyczę na weekend. Proszę o zwrot.,Inne,18,wymiana
Zestaw sztućców,https://example.com/product_45.jpg,52,PLN,"Widelec, nóż, łyżka – wszystko w zestawie.",Akcesoria Kuchenne,18,sprzedaż
Makaron + sos pomidorowy,https://example.com/product_46.jpg,50,PLN,Zestaw na gotowy obiad.,Żywność,3,sprzedaż
Płyn do szyb + ściereczki,https://example.com/product_47.jpg,88,Waluta Studencka,Nowy zestaw do czyszczenia okien.,Środki Czystości,8,sprzedaż
Makaron + sos pomidorowy,https://example.com/product_48.jpg,16,PLN,Zestaw na gotowy obiad.,Żywność,16,wymiana
Płyn do mycia naczyń,https://example.com/product_49.jpg,78,EUR,"Nowy, nieużywany. Kupiłem za dużo.",Środki Czystości,17,sprzedaż
Makaron + sos pomidorowy,https://example.com/product_50.jpg,51,EUR,Zestaw na gotowy obiad.,Żywność,6,wymiana
Kabel HDMI 2m,https://example.com/product_51.jpg,62,Waluta Studencka,Nadaje się do podłączania laptopa do TV.,RTV,5,pożyczę
Zupki chińskie (pakiet 10 szt.),https://example.com/product_52.jpg,50,EUR,Różne smaki. Idealne na szybki obiad.,Żywność,11,pożyczę
Płyn do mycia naczyń,https://example.com/product_53.jpg,51,EUR,"Nowy, nieużywany. Kupiłem za dużo.",Środki Czystości,11,sprzedaż
Suszarka do włosów,https://example.com/product_54.jpg,33,PLN,"Działa, trochę poobijana, ale sprawna.",Inne,12,wymiana
Suszarka do włosów,https://example.com/product_55.jpg,31,EUR,"Działa, trochę poobijana, ale sprawna.",Inne,3,sprzedaż
Płyn do mycia naczyń,https://example.com/product_56.jpg,49,PLN,"Nowy, nieużywany. Kupiłem za dużo.",Środki Czystości,12,sprzedaż
Powerbank 10000mAh,https://example.com/product_57.jpg,93,PLN,"Mało używany, idealny na wykłady.",RTV,16,pożyczę
Kurtka zimowa,https://example.com/product_58.jpg,75,Waluta Studencka,"Gruba, dobrze grzeje, stan bardzo dobry.",Ubrania,19,sprzedaż
Płyn do mycia naczyń,https://example.com/product_59.jpg,66,Waluta Studencka,"Nowy, nieużywany. Kupiłem za dużo.",Środki Czystości,14,wymiana
Makaron + sos pomidorowy,https://example.com/product_60.jpg,27,Waluta Studencka,Zestaw na gotowy obiad.,Żywność,9,pożyczę
Kawa rozpuszczalna (duże opakowanie),https://example.com/product_61.jpg,81,Waluta Studencka,"Nowa, nieotwierana.",Żywność,2,sprzedaż
Płyn do szyb + ściereczki,https://example.com/product_62.jpg,21,PLN,Nowy zestaw do czyszczenia okien.,Środki Czystości,15,pożyczę
Płyn do mycia naczyń,https://example.com/product_63.jpg,37,EUR,"Nowy, nieużywany. Kupiłem za dużo.",Środki Czystości,9,pożyczę
Suszarka do włosów,https://example.com/product_64.jpg,87,PLN,"Działa, trochę poobijana, ale sprawna.",Inne,4,sprzedaż
Płyn do mycia naczyń,https://example.com/product_65.jpg,28,EUR,"Nowy, nieużywany. Kupiłem za dużo.",Środki Czystości,19,pożyczę
Kabel HDMI 2m,https://example.com/product_66.jpg,13,Waluta Studencka,Nadaje się do podłączania laptopa do TV.,RTV,9,sprzedaż
Makaron + sos pomidorowy,https://example.com/product_67.jpg,59,EUR,Zestaw na gotowy obiad.,Żywność,8,pożyczę
Płyn do szyb + ściereczki,https://example.com/product_68.jpg,29,EUR,Nowy zestaw do czyszczenia okien.,Środki Czystości,11,pożyczę
Słuchawki przewodowe Sony,https://example.com/product_69.jpg,72,EUR,Działają bez zarzutu. Super do nauki.,RTV,13,wymiana
Kurtka zimowa,https://example.com/product_70.jpg,25,PLN,"Gruba, dobrze grzeje, stan bardzo dobry.",Ubrania,4,wymiana
Słuchawki przewodowe Sony,https://example.com/product_71.jpg,9,EUR,Działają bez zarzutu. Super do nauki.,RTV,7,wymiana
Suszarka do włosów,https://example.com/product_72.jpg,34,PLN,"Działa, trochę poobijana, ale sprawna.",Inne,19,wymiana
Tablet Samsung Galaxy Tab,https://example.com/product_73.jpg,43,Waluta Studencka,"Sprawny, idealny do przeglądania notatek.",RTV,19,sprzedaż
Ciepła bluza z kapturem,https://example.com/product_74.jpg,85,EUR,Chętnie wymienię na coś słodkiego.,Ubrania,16,sprzedaż
Ciepła bluza z kapturem,https://example.com/product_75.jpg,85,PLN,Chętnie wymienię na coś słodkiego.,Ubrania,1,wymiana
Powerbank 10000mAh,https://example.com/product_76.jpg,49,PLN,"Mało używany, idealny na wykłady.",RTV,8,pożyczę
Ciepła bluza z kapturem,https://example.com/product_77.jpg,51,EUR,Chętnie wymienię na coś słodkiego.,Ubrania,18,pożyczę
Ciepła bluza z kapturem,https://example.com/product_78.jpg,37,Waluta Studencka,Chętnie wymienię na coś słodkiego.,Ubrania,13,pożyczę
Tablet Samsung Galaxy Tab,https://example.com/product_79.jpg,26,PLN,"Sprawny, idealny do przeglądania notatek.",RTV,19,wymiana
Kurtka zimowa,https://example.com/product_80.jpg,71,EUR,"Gruba, dobrze grzeje, stan bardzo dobry.",Ubrania,5,wymiana
Zupki chińskie (pakiet 10 szt.),https://example.com/product_81.jpg,48,EUR,Różne smaki. Idealne na szybki obiad.,Żywność,20,wymiana
Tablet Samsung Galaxy Tab,https://example.com/product_82.jpg,14,EUR,"Sprawny, idealny do przeglądania notatek.",RTV,2,sprzedaż
Płyn do mycia naczyń,https://example.com/product_83.jpg,69,PLN,"Nowy, nieużywany. Kupiłem za dużo.",Środki Czystości,1,sprzedaż
Słuchawki przewodowe Sony,https://example.com/product_84.jpg,17,PLN,Działają bez zarzutu. Super do nauki.,RTV,16,sprzedaż
Kurtka zimowa,https://example.com/product_85.jpg,21,EUR,"Gruba, dobrze grzeje, stan bardzo dobry.",Ubrania,7,sprzedaż
Ciepła bluza z kapturem,https://example.com/product_86.jpg,34,Waluta Studencka,Chętnie wymienię na coś słodkiego.,Ubrania,20,wymiana
Suszarka do włosów,https://example.com/product_87.jpg,54,Waluta Studencka,"Działa, trochę poobijana, ale sprawna.",Inne,3,wymiana
Czajnik elektryczny 1.7L,https://example.com/product_88.jpg,38,Waluta Studencka,"Używany, działa sprawnie.",Akcesoria Kuchenne,3,pożyczę
Zestaw sztućców,https://example.com/product_89.jpg,16,EUR,"Widelec, nóż, łyżka – wszystko w zestawie.",Akcesoria Kuchenne,1,pożyczę
Płyn do mycia naczyń,https://example.com/product_90.jpg,36,EUR,"Nowy, nieużywany. Kupiłem za dużo.",Środki Czystości,2,pożyczę
Koszula męska L,https://example.com/product_91.jpg,55,Waluta Studencka,"Używana tylko raz, stan bardzo dobry.",Ubrania,11,wymiana
Makaron + sos pomidorowy,https://example.com/product_92.jpg,52,Waluta Studencka,Zestaw na gotowy obiad.,Żywność,17,sprzedaż
Odkurzacz ręczny,https://example.com/product_93.jpg,52,EUR,Pożyczę na weekend. Proszę o zwrot.,Inne,2,sprzedaż
Tablet Samsung Galaxy Tab,https://example.com/product_94.jpg,52,Waluta Studencka,"Sprawny, idealny do przeglądania notatek.",RTV,9,pożyczę
Zupki chińskie (pakiet 10 szt.),https://example.com/product_95.jpg,68,PLN,Różne smaki. Idealne na szybki obiad.,Żywność,12,wymiana
Zestaw sztućców,https://example.com/product_96.jpg,35,EUR,"Widelec, nóż, łyżka – wszystko w zestawie.",Akcesoria Kuchenne,10,wymiana
Tablet Samsung Galaxy Tab,https://example.com/product_97.jpg,64,Waluta Studencka,"Sprawny, idealny do przeglądania notatek.",RTV,17,sprzedaż
Powerbank 10000mAh,https://example.com/product_98.jpg,76,EUR,"Mało używany, idealny na wykłady.",RTV,5,pożyczę
Koszula męska L,https://example.com/product_99.jpg,86,EUR,"Używana tylko raz, stan bardzo dobry.",Ubrania,3,wymiana
Płyn do szyb + ściereczki,https://example.com/product_100.jpg,11,PLN,Nowy zestaw do czyszczenia okien.,Środki Czystości,8,pożyczę
Ciepły sweter,https://example.com/product_215.jpg,12,Waluta Studencka,Super sweter z wizerunkiem Marcina Skotniczego,Ubrania,3,sprzedaż
Wódka,https://example.com/product_215.jpg,12,Waluta Studencka,"Zimna wódeczka, idealna na czwartkowe miasteczko studenckie",Żywność,3,sprzedaż
Piwo Lager,https://example.com/product_215.jpg,12,EUR,Piweczko idealne przed sesją,Żywność,3,sprzedaż
Rośliny,https://example.com/product_215.jpg,12,PLN,Rośliny do postawienia na parapecie w Twoim akademiku,Inne,3,pożyczę